size,num_sections,num_unique_sections,section_names_entropy,avg_section_size,min_section_size,max_section_size,total_section_size,avg_entropy,min_entropy,max_entropy,has_packed_sections,has_executable_sections,writable_executable_sections,num_imports,num_unique_dlls,num_unique_imports,imports_to_dlls_ratio,has_import_name_mismatches,suspicious_imports_count,num_exports,suspicious_exports,suspicious_api_chains,has_delayed_imports,is_dll,is_executable,is_system_file,has_aslr,has_dep,is_signed,has_rich_header,rich_header_entries,num_strings,avg_string_length,has_suspicious_strings,has_anti_debug,has_vm_detection_imports,has_vm_detection_strings,has_vm_mac_addresses,has_anti_debug_imports,has_anti_debug_strings,has_process_creation_imports,has_createprocess,has_setwindowshookex,has_nop_sleds,has_resources,num_resources,has_embedded_exe,has_debug,has_tls,has_relocations,ep_in_first_section,ep_in_last_section,ep_section_entropy,has_suspicious_sections,Family_Label,label
6218240,10,10,3.321928095,621721.6,0,4418560,6217216,3.709733154,0,7.394317431,1,1,0,797,17,739,46.88235294,0,16,1,0,1,0,0,2,0,0,0,0,0,0,36292,11.87539954,1,0,0,1,0,1,1,1,1,1,0,1,12,1,0,1,0,0,0,6.089576694,0,Benign,0
276576,4,4,2,68608,512,269824,274432,4.050778612,2.037838402,7.724076349,0,1,1,9,2,9,4.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2325,5.16688172,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,7.724076349,0,Ransomware,1
413696,4,4,2,102400,12288,339968,409600,6.069548122,4.973998824,7.976134876,0,1,0,41,4,41,10.25,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4279,4.827763496,1,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,6.334075251,0,Spyware,1
95648,7,7,2.807354922,11702.85714,4096,36864,81920,2.406863993,0.015920183,5.875014908,0,1,0,117,23,117,5.086956522,1,5,0,0,0,0,0,2,0,64,256,0,0,0,733,12.80491132,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,5.875014908,0,Benign,0
54032,10,10,3.321928095,4091.2,0,18432,40912,2.722141931,0,6.064655425,1,1,0,104,4,104,26,0,4,0,0,0,0,0,2,0,0,0,0,0,0,588,16.59353741,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,6.064655425,0,Benign,0
442368,5,5,2.321928095,87654.4,4096,376832,438272,4.558323067,0,7.821816361,0,1,0,68,4,68,17,0,5,0,0,1,0,0,2,0,0,0,0,0,0,4370,5.099084668,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,6.417601029,0,Ransomware,1
943104,4,4,2,234752,512,635904,939008,6.091653587,1.380976255,7.985275527,0,1,2,3,2,3,1.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9283,4.587525584,1,0,0,0,0,0,1,0,0,0,0,1,7,1,0,1,0,0,1,7.885969839,0,Ransomware,1
918944,6,6,2.584962501,150869.3333,4096,720896,905216,4.673231375,2.870818042,6.503548597,0,1,0,184,4,184,46,0,7,0,0,0,0,0,2,0,64,256,0,0,0,4865,8.421377184,1,1,0,0,0,1,1,1,1,0,0,1,2,0,1,1,0,1,0,6.503548597,0,Benign,0
401408,4,4,2,99328,8192,348160,397312,5.388207266,2.20158589,7.94720206,0,1,0,48,3,48,16,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4338,4.892346704,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,6.084245343,0,Trojan,1
67072,8,8,3,8256,0,49152,66048,2.023353661,0,6.152166661,1,1,0,79,3,79,26.33333333,0,2,0,0,1,0,0,2,0,0,0,0,0,0,400,26.4775,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.152166661,0,Benign,0
421888,4,4,2,104448,8192,360448,417792,4.804219709,0.709248812,7.903708358,0,1,0,60,3,60,20,0,4,0,0,0,0,0,2,0,0,0,0,0,0,4280,5.20864486,1,0,0,0,0,1,1,0,0,0,0,1,5,0,0,0,0,1,0,6.129996133,0,Trojan,1
191864,7,7,2.807354922,25746.28571,512,119296,180224,4.437970655,2.091165172,6.512675649,0,1,0,78,2,78,39,0,4,0,0,0,0,0,2,0,64,256,0,0,0,1714,8.762543757,1,1,0,1,0,1,1,0,0,0,0,1,2,0,1,0,0,1,0,6.512675649,0,Benign,0
392192,3,3,1.584962501,130560,0,391168,391680,3.752993341,0,7.930337047,1,1,2,10,5,10,2,0,3,0,0,1,0,0,2,0,0,0,0,0,0,5351,4.817417305,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7.930337047,0,Benign,0
152576,9,9,3.169925001,16839.11111,512,127488,151552,2.986411072,0.437109725,7.914190124,0,1,1,23,2,23,11.5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1517,5.579433092,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,7.914190124,0,Ransomware,1
348160,4,4,2,86016,4096,200704,344064,5.91642511,0.641795022,7.99352062,0,1,0,8,3,8,2.666666667,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3775,4.649006623,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,7.99352062,0,Ransomware,1
212992,5,5,2.321928095,41779.2,4096,147456,208896,3.478779767,0,6.620575927,0,1,0,115,7,115,16.42857143,0,6,2,0,0,0,8192,2,0,64,256,0,0,0,971,12.02059732,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,6.620575927,0,Spyware,1
201216,3,3,1.584962501,66730.66667,0,153088,200192,5.076682484,0,7.759643163,1,1,0,261,5,261,52.2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2473,6.618681763,1,0,0,0,0,0,1,0,0,0,0,1,9,0,0,0,0,1,0,7.47040429,0,Ransomware,1
9090936,5,5,2.321928095,1815756.8,512,4591616,9078784,4.139629611,0.020393135,5.84130142,0,1,0,32,1,32,32,0,2,0,0,0,0,0,2,0,0,0,0,0,0,28463,28.28486105,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5.84130142,0,Benign,0
95785,5,5,2.321928095,18739.2,512,88064,93696,4.120062873,2.006387978,7.757649118,0,1,0,6,3,6,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,871,5.35706085,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,5.490266674,0,Trojan,1
389120,4,4,2,96256,12288,258048,385024,7.191628931,6.374029905,7.921909629,0,1,0,39,2,39,19.5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4409,4.80902699,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,6.374029905,0,Ransomware,1
146944,4,4,2,36480,4608,92672,145920,5.215050761,3.384756854,6.342793309,0,1,0,82,1,82,82,0,4,0,0,0,0,0,2,0,0,0,0,0,0,618,8.766990291,1,1,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,1,0,6.161671554,0,Trojan,1
208384,7,7,2.807354922,29622.85714,512,169472,207360,4.142112364,0.943778057,6.608868778,0,1,0,32,6,32,5.333333333,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2455,5.925458248,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,6.579190329,0,Spyware,1
242688,11,11,3.459431619,21969.45455,0,177152,241664,3.327971936,0,6.148693809,1,1,0,107,3,107,35.66666667,0,2,0,0,0,0,0,2,0,64,256,0,0,0,1221,11.43980344,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,6.148693809,0,Benign,0
438272,4,4,2,108544,16384,339968,434176,6.046253492,4.373381272,7.976047999,0,1,0,46,4,46,11.5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4510,4.855432373,1,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,6.321867609,0,Ransomware,1
1009112,6,6,2.584962501,164522.6667,2560,508928,987136,4.795466336,1.34950093,6.41665004,0,1,0,333,22,333,15.13636364,0,8,9,0,0,0,0,2,0,64,256,0,0,0,10081,15.20870945,1,1,0,1,0,1,1,0,0,0,0,1,2,0,1,1,0,1,0,6.41665004,0,Benign,0
52736,4,4,2,12928,1024,37376,51712,4.675821449,2.902537515,6.57989775,0,1,0,55,2,55,27.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,633,18.1042654,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,6.57989775,0,Benign,0
83272,5,5,2.321928095,12185.6,0,28160,60928,4.053813387,0,6.416222666,1,1,0,164,7,164,23.42857143,1,3,0,0,0,0,0,2,0,64,256,0,0,0,665,13.6,1,0,0,0,0,1,1,1,1,0,0,1,5,0,0,0,0,1,0,6.416222666,0,Benign,0
195072,3,3,1.584962501,64682.66667,2048,124416,194048,7.10257282,6.216377312,7.684076627,0,1,0,262,6,262,43.66666667,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2170,6.098617512,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,7.684076627,0,Trojan,1
110688,5,5,2.321928095,21708.8,512,101376,108544,4.193745384,1.496296555,7.126224705,0,1,0,6,1,6,6,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1117,6.136974038,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,5.15018064,0,Spyware,1
131168,9,9,3.169925001,14336,1024,108032,129024,2.564257985,0.160328726,7.080750892,0,1,0,243,4,243,60.75,0,1,0,0,0,0,0,2,0,0,0,0,0,0,977,9.518935517,1,0,0,0,0,0,1,1,0,1,0,1,6,0,0,0,0,1,0,7.080750892,0,Trojan,1
303104,9,9,3.169925001,33223.11111,4096,212992,299008,2.733621294,0.015920183,6.397384436,0,1,0,210,33,210,6.363636364,1,5,26,0,0,0,0,2,0,64,256,0,0,0,1701,9.018812463,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,6.397384436,0,Benign,0
700510,18,18,4.169925001,32632.44444,0,179200,587384,4.159045021,0,6.599420551,1,1,0,232,6,229,38.66666667,0,2,0,0,1,0,0,2,0,64,256,0,0,0,5239,14.10307311,1,0,0,0,0,0,1,0,0,0,1,1,4,0,0,1,0,1,0,6.064119114,0,Benign,0
433664,6,6,2.584962501,72021.33333,1024,361472,432128,4.514182369,0.26788559,7.987398417,0,1,1,25,2,25,12.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4692,5.064791134,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4.458408501,0,Spyware,1
285208,6,6,2.584962501,47189.33333,1024,264192,283136,4.621194395,0,7.71985215,0,1,0,331,7,331,47.28571429,1,4,0,0,0,0,0,2,0,0,0,0,0,0,3288,6.196776156,1,0,0,0,0,1,1,1,0,0,0,1,3,0,0,0,0,1,0,5.190945569,0,Ransomware,1
462848,4,4,2,114688,12288,217088,458752,6.874218958,6.008817087,7.914494984,0,1,0,75,5,75,15,0,4,1,0,0,0,0,2,0,0,0,0,0,0,4611,5.250271091,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,6.140013026,0,Trojan,1
45056,7,7,2.807354922,5851.428571,4096,12288,40960,1.682291294,0.015920183,6.05143252,0,1,0,72,3,72,24,0,2,0,0,0,0,0,2,0,64,256,0,0,0,295,9.216949153,1,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1,0,6.05143252,0,Benign,0
98857,7,7,2.807354922,13824,512,89088,96768,2.932653665,0,7.719826117,0,1,0,6,3,6,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,864,5.40625,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,5.503224299,0,Ransomware,1
32768,4,4,2,5248,512,15360,20992,4.668735504,1.524359356,6.414933007,0,1,0,83,6,83,13.83333333,0,1,0,0,0,0,0,2,0,64,256,0,0,0,286,8.681818182,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,6.414933007,0,Trojan,1
389120,4,4,2,97024,1536,379392,388096,4.554451605,0,7.88713513,0,1,0,39,4,36,9.75,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4423,4.788378928,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,6.272005981,0,Trojan,1
131168,9,9,3.169925001,14336,1024,108032,129024,2.565510194,0.160328726,7.08357004,0,1,0,243,4,243,60.75,0,1,0,0,0,0,0,2,0,0,0,0,0,0,972,9.530864198,1,0,0,0,0,0,1,1,0,1,0,1,6,0,0,0,0,1,0,7.08357004,0,Ransomware,1
409600,4,4,2,101376,12288,335872,405504,6.078464824,4.98080124,7.984970534,0,1,0,46,3,46,15.33333333,0,3,0,0,0,0,0,2,0,0,0,0,0,0,4583,4.826096443,1,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,1,0,6.338446221,0,Trojan,1
393216,4,4,2,97280,8192,311296,389120,6.774471703,5.962619373,7.922313448,0,1,0,44,3,44,14.66666667,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4136,4.842601547,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,6.364475246,0,Trojan,1
466944,4,4,2,115712,20480,294912,462848,6.972798134,6.631826373,7.373573197,0,1,0,78,7,78,11.14285714,0,5,0,0,1,0,0,2,0,0,0,0,0,0,4402,5.087460245,1,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,1,0,6.709901664,0,Trojan,1
442880,4,4,2,110464,1536,430080,441856,4.035976821,0.089524219,7.618810837,0,1,0,39,4,37,9.75,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4099,4.801171017,1,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,1,0,4.524766114,0,Ransomware,1
454656,4,4,2,112640,20480,294912,450560,7.092095708,6.611405337,7.691117451,0,1,0,74,6,74,12.33333333,0,6,0,0,1,0,0,2,0,0,0,0,0,0,4340,5.080645161,1,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,1,0,6.696963443,0,Trojan,1
434176,4,4,2,107520,8192,233472,430080,6.423129714,3.807231762,7.864937305,0,1,0,68,4,68,17,0,5,0,0,1,0,0,2,0,0,0,0,0,0,4314,5.085071859,1,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,1,0,6.503629327,0,Ransomware,1
213640,6,6,2.584962501,21077.33333,0,81920,126464,4.545839925,0,7.907852806,1,1,0,171,8,171,21.375,1,4,0,0,0,0,0,2,0,64,256,0,0,0,2294,7.79163034,1,0,0,0,0,1,1,1,1,0,0,1,5,0,0,0,0,1,0,6.497884652,0,Benign,0
434176,6,6,2.584962501,72106.66667,1024,361984,432640,4.510327741,0.266932839,7.98728494,0,1,1,25,2,25,12.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4478,5.069673962,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4.468887129,0,Spyware,1
208896,5,5,2.321928095,40960,4096,143360,204800,4.635116345,2.608004526,6.643807596,0,1,0,114,7,114,16.28571429,0,6,2,0,0,0,8192,2,0,64,256,0,0,0,1289,11.47866563,1,1,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,1,0,6.643807596,0,Spyware,1
131168,9,9,3.169925001,14336,1024,108032,129024,2.563383675,0.160328726,7.080807043,0,1,0,243,4,243,60.75,0,1,0,0,0,0,0,2,0,0,0,0,0,0,978,9.512269939,1,0,0,0,0,0,1,1,0,1,0,1,6,0,0,0,0,1,0,7.080807043,0,Spyware,1
192512,5,5,2.321928095,38297.6,3072,166912,191488,4.875365412,2.948957525,6.523447646,0,1,0,156,10,156,15.6,0,5,0,0,0,0,0,2,0,64,256,0,0,0,2398,15.80733945,1,0,0,1,0,1,1,1,1,0,0,1,5,0,1,0,0,1,0,5.216395245,0,Benign,0
178176,4,4,2,44288,3072,164864,177152,5.659838702,3.480207538,7.892858428,0,1,0,17,2,17,8.5,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1882,5.906482465,1,0,0,0,0,1,1,0,0,0,0,1,3,0,1,0,0,1,0,7.892858428,0,Trojan,1
260136,5,5,2.321928095,51609.6,512,252416,258048,3.542968043,0,7.72979785,0,1,0,5,2,5,2.5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1561,5.180653427,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,5.460676747,0,Ransomware,1
46080,6,6,2.584962501,7509.333333,512,33792,45056,3.562277589,1.324213722,5.400111492,0,1,0,49,4,49,12.25,0,2,0,0,0,0,0,2,0,64,256,0,0,0,442,17.77828054,1,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1,0,5.400111492,0,Benign,0
723704,4,4,2,174720,8192,446976,698880,5.627926208,3.746132151,7.396759155,0,1,0,424,15,424,28.26666667,1,11,0,0,1,0,0,2,0,0,256,0,0,0,4139,10.61754047,1,1,0,0,0,1,1,1,1,1,0,1,12,0,1,1,0,1,0,6.522746966,0,Benign,0
394240,4,4,2,98304,1536,384512,393216,4.601483958,0,7.852663568,0,1,0,39,4,35,9.75,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4383,4.822496007,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,6.467267951,0,Trojan,1
11334163,11,11,3.459431619,1030283.636,0,8911872,11333120,2.974242085,0,7.36079927,1,1,0,375,8,370,46.875,0,8,1,0,1,0,0,2,0,64,256,0,0,0,42900,14.1760373,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,6.096287384,0,Benign,0
56312,2,2,1,23040,2048,44032,46080,4.322377974,3.55345452,5.091301428,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,64,256,0,0,0,841,19.59690844,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,Benign,0
390656,4,4,2,97408,1536,380928,389632,4.531151288,0,7.88150001,0,1,0,39,4,36,9.75,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4453,4.785762407,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,0,6.207873452,0,Ransomware,1
5339512,10,10,3.321928095,532275.2,0,3117568,5322752,3.75750645,0,6.67834885,1,1,0,2137,25,2116,85.48,0,13,0,0,2,0,0,2,0,0,0,0,0,0,44421,15.10083069,1,0,0,1,0,1,1,1,1,0,0,1,12,1,0,1,0,0,0,5.817246272,0,Benign,0
393216,4,4,2,97280,8192,311296,389120,6.769749414,5.962854174,7.92052969,0,1,0,39,2,39,19.5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4252,4.822906867,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,6.346980785,0,Trojan,1
17725,10,10,3.321928095,1484.8,0,5632,14848,2.451780379,0,5.471271508,1,1,0,41,3,41,13.66666667,0,0,0,0,0,0,0,2,0,0,0,0,0,0,235,19.19574468,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,5.471271508,0,Benign,0
77313,3,3,1.584962501,18090.66667,0,53760,54272,3.330940211,0,7.91089746,1,1,2,7,2,7,3.5,0,3,0,0,1,0,0,2,0,0,0,0,0,0,1177,7.921835174,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.91089746,0,Benign,0
29696,5,5,2.321928095,5734.4,1024,13824,28672,4.736199663,0.696569715,6.525448575,0,1,0,94,8,94,11.75,0,3,0,0,0,0,0,2,0,64,256,0,0,0,318,10.12264151,1,0,0,0,0,1,1,0,0,0,0,1,3,1,1,0,0,1,0,5.601337906,0,Ransomware,1
520608,8,8,3,63744,512,348672,509952,3.771746564,0.015920183,6.070313995,0,1,0,232,30,232,7.733333333,0,4,0,0,0,0,0,2,0,64,256,0,0,0,1642,15.69914738,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,6.070313995,0,Benign,0
42496,5,5,2.321928095,8294.4,1536,32256,41472,4.543450148,2.349063069,6.201457802,0,1,0,125,8,125,15.625,1,5,0,0,0,0,0,2,0,64,256,0,0,0,383,12.61618799,1,0,0,0,0,1,1,1,1,0,0,1,2,0,1,0,0,1,0,6.152079847,0,Benign,0
170096,6,6,2.584962501,26538.66667,1024,109568,159232,4.372942791,1.908728071,6.4042457,0,1,0,80,4,80,20,0,3,0,0,0,0,0,2,0,64,256,0,0,0,1062,10.35781544,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,6.4042457,0,Benign,0
108392,6,6,2.584962501,17834.66667,1024,61440,107008,4.310408883,1.98114181,6.386572044,0,1,0,86,2,86,43,0,6,0,0,0,0,0,2,0,64,256,0,0,0,874,9.956521739,1,1,0,0,0,1,1,1,1,0,0,1,4,0,1,0,0,1,0,6.386572044,0,Benign,0
536576,4,4,2,133120,69632,217088,532480,6.35496362,5.707804598,6.822057219,0,1,0,272,12,272,22.66666667,1,6,0,0,0,0,0,2,0,0,0,0,0,0,4936,10.23277958,1,0,0,0,0,1,1,1,0,1,1,1,8,0,0,0,0,1,0,6.493222365,0,Benign,0
29184,5,5,2.321928095,5632,512,20992,28160,4.398819081,0.359927468,6.497387176,0,1,0,88,5,88,17.6,1,3,0,0,0,0,0,2,0,64,256,0,0,0,386,17.06994819,1,0,0,0,0,1,1,0,0,0,0,1,3,0,1,0,0,1,0,6.497387176,0,Benign,0
559536,7,7,2.807354922,78336,512,325120,548352,5.194852338,4.175070233,6.397997072,0,1,0,259,16,259,16.1875,0,3,0,0,0,0,0,2,0,64,256,0,0,0,3086,34.18373299,1,1,0,0,0,1,1,0,0,0,0,1,6,0,1,1,0,1,0,6.397997072,0,Benign,0
3492120,2,2,1,1734912,512,3469312,3469824,2.859708149,2.033371221,3.686045076,0,0,0,0,0,0,0,0,0,0,0,0,0,8192,2,0,64,256,0,0,0,2122,10.2403393,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,Benign,0
195232,8,8,3,24000,512,145408,192000,1.180829999,0,6.045168066,0,1,0,10,3,10,3.333333333,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1128,5.903368794,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.045168066,0,Trojan,1
417792,4,4,2,103424,8192,208896,413696,6.713296138,3.770000385,7.766468509,0,1,0,58,2,58,29,0,5,0,0,1,0,0,2,0,0,0,0,0,0,4244,5.058199811,1,0,0,0,0,1,1,0,0,0,0,1,3,1,0,0,0,1,0,7.766468509,0,Trojan,1
38912,6,6,2.584962501,6314.666667,512,28672,37888,3.283253903,0.449785946,6.217592441,0,1,0,48,9,48,5.333333333,0,2,1,0,0,0,0,2,0,64,256,0,0,0,218,19.97706422,1,1,0,0,0,1,1,0,0,0,0,1,4,0,1,0,0,1,0,5.721875567,0,Benign,0
215040,4,4,2,53504,512,138240,214016,5.220421137,0.020393135,7.868208962,0,1,1,255,6,255,42.5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2122,6.20405278,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,7.868208962,0,Trojan,1
39424,4,4,2,9600,3072,23552,38400,5.137310589,4.415599964,5.832995135,0,1,0,58,6,58,9.666666667,0,1,0,0,0,0,0,2,0,64,256,0,0,0,193,8.67357513,1,0,0,0,0,1,1,0,0,0,1,1,3,1,0,0,0,1,0,4.415599964,0,Spyware,1
413696,4,4,2,102400,8192,212992,409600,6.472784179,3.645524859,7.897627183,0,1,0,58,2,58,29,0,5,0,0,1,0,0,2,0,0,0,0,0,0,4456,5.089991023,1,0,0,1,0,1,1,0,0,0,0,1,4,0,0,0,0,1,0,6.480703305,0,Ransomware,1
136288,7,7,2.807354922,19163.42857,1024,110080,134144,3.404001867,0.160328726,7.001682482,0,1,0,413,5,413,82.6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1324,9.792296073,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,7.001682482,0,Trojan,1
